hcp_id,hcp_name,region,specialty,trx_count,nrx_count
HCP1174564124,Dr. Shanker Chandiramani,South,Cardiology,7045,3250
HCP1912018201,Dr. Ann Cabot,East,Neurology,2326,894
HCP1871892455,Dr. David Claassen,North,Oncology,12,3
HCP1841291929,Dr. Bryan Wong,West,Oncology,763,194
HCP1821037946,Dr. Kimberly Boddicker,North,Cardiology,2292,1136
HCP1336414168,Dr. Justin Markow,South,Oncology,453,123
HCP1922485333,Dr. Rushil Patel,South,Oncology,314,72
HCP1801209853,Dr. Michael Leukam,East,Oncology,137,43
HCP1447292701,Dr. Todd Villines,South,Cardiology,751,447
HCP1437122538,Dr. Zi-Jian Xu,West,Cardiology,4125,2289
HCP1124120613,Dr. John Hamjian,East,Neurology,2129,918
HCP1083956148,Dr. Ariel Nelson,North,Oncology,528,180
HCP1609294701,Dr. Brandon Strawn,North,Neurology,584,247
HCP1154375772,Dr. Holly Varner,South,Neurology,313,93
HCP1902868185,Dr. Dana Valencia,North,Cardiology,4926,1629
HCP1407809304,Dr. Hemant Kudrimoti,West,Neurology,2612,1004
HCP1790904027,Dr. Varant Arzoumanian,South,Oncology,6917,1890
HCP1205035466,Dr. Nilanjan Ghosh,South,Oncology,196,74
HCP1376828269,Dr. Kaveh Karimzad,South,Cardiology,921,422
HCP1447661723,Dr. Hardik Chhatrala,South,Oncology,565,158
HCP1710113493,Dr. Arash Foroughi,South,Neurology,1293,354
HCP1760613673,Dr. Ashraf El-Dabh,South,Cardiology,4612,2664
HCP1619958824,Dr. Jorge Pastoriza,South,Cardiology,7011,3472
HCP1043290794,Dr. William Ntim,South,Cardiology,2189,1064
HCP1710971577,Dr. David Sawyer,South,Cardiology,8535,4842
HCP1083058622,Dr. Rabia Ghazi,South,Neurology,676,213
HCP1063556736,Dr. Uchenna Njiaju,West,Oncology,1432,604
HCP1013235753,Dr. Juan Varela,South,Oncology,64,14
HCP1861482861,Dr. Masroor Khan,South,Cardiology,2949,1708
HCP1891921920,Dr. Moses Mathur,East,Cardiology,371,156
HCP1699764589,Dr. Maxwell Mcdonald,South,Oncology,1723,555
HCP1174720734,Dr. Joseph My,South,Oncology,2854,914
HCP1013390301,Dr. Aashrai Gudlavalleti,North,Neurology,200,55
HCP1285818740,Dr. Ian Neeland,North,Cardiology,2258,1090
HCP1821007972,Dr. Sanjay Rathi,East,Neurology,1295,497
HCP1780644997,Dr. Karin Maddox,South,Neurology,6639,1852
HCP1972500676,Dr. Milind Dhond,West,Cardiology,2423,1341
HCP1366415465,Dr. Ajay Agarwala,East,Cardiology,2187,1038
HCP1295942530,Dr. Swetha Yadav,South,Oncology,2611,615
HCP1699193458,Dr. Fahd Nadeem,South,Cardiology,217,98
HCP1508129768,Dr. Cori Russell,North,Cardiology,2076,1105
HCP1881787067,Dr. Kenneth Cohen,North,Oncology,396,167
HCP1497476881,Dr. Rasha Moussallem,South,Neurology,23,7
HCP1376572933,Dr. Samin Sharma,East,Cardiology,1450,763
HCP1548420615,Dr. Jaime Imitola Herrera,East,Neurology,1373,399
HCP1659303527,Dr. Maribel Tirado-Gomez,South,Oncology,587,155
HCP1366408692,Dr. Jashu Patel,North,Cardiology,2570,1459
HCP1205013471,Dr. Achraf Makki,South,Neurology,2238,683
HCP1023052578,Dr. Leonardo Saulle,East,Cardiology,2605,1290
HCP1154989390,Dr. Mustafa Al-Chalabi,South,Neurology,70,21
HCP1306936885,Dr. Behzad Molavi,West,Cardiology,2140,1139
HCP1114966470,Dr. Dipan Shah,South,Cardiology,628,386
HCP1568663789,Dr. Josna Adusumilli,East,Neurology,49,15
HCP1295745693,Dr. Gustavo Roman,South,Neurology,2601,980
HCP1104273184,Dr. Trevor Cline,West,Neurology,448,178
HCP1255387494,Dr. Tammam Al-Joundi,North,Cardiology,6051,2692
HCP1750677613,Dr. Molly Gallogly,North,Oncology,1238,327
HCP1518188861,Dr. Jeffrey Williams,South,Cardiology,11,7
HCP1972796373,Dr. Mark Lahiri,North,Cardiology,902,494
HCP1770897050,Dr. Krishna Chaitanya Nalleballe,South,Neurology,66,23
HCP1679540355,Dr. Andrew Barreto,South,Neurology,11,3
HCP1316918592,Dr. David Simpson,East,Neurology,464,172
HCP1538516059,Dr. Robin Jacob,South,Cardiology,1477,847
HCP1306897210,Dr. Mary Eapen,North,Oncology,57,14
HCP1518039965,Dr. Yassir Sonbol,South,Cardiology,1958,1161
HCP1922568385,Dr. Alfonso Martinez Nunez,South,Neurology,946,491
HCP1194013623,Dr. Kevin Patel,West,Neurology,909,312
HCP1306368543,Dr. Sardar Ijaz,South,Cardiology,894,443
HCP1386800464,Dr. Andrew Brown,East,Oncology,1241,411
HCP1891721338,Dr. Andres Mesa,South,Cardiology,4712,2704
HCP1316332497,Dr. Moyukh Ghosh,South,Cardiology,2507,1231
HCP1376102962,Dr. Benjamin Bird,South,Neurology,123,55
HCP1841372877,Dr. Vijay Roy,North,Cardiology,2170,1243
HCP1013071042,Dr. Walter Robertson,West,Cardiology,2511,1486
HCP1750722260,Dr. Alejandro Marinos Velarde,South,Oncology,319,86
HCP1033384623,Dr. Dalila Natali,South,Neurology,948,230
HCP1720501588,Dr. Ahmed Mohamed,North,Cardiology,213,89
HCP1497192272,Dr. Nadia Yusuf,South,Neurology,3094,1641
HCP1508066705,Dr. Dexter Sun,East,Neurology,589,174
HCP1831213701,Dr. Ali Dabestani,West,Cardiology,980,436
HCP1194068031,Dr. Jacob Hall,West,Neurology,2865,1129
HCP1285844092,Dr. Darshan Gandhi,South,Oncology,1103,360
HCP1568458149,Dr. Querubin Mendoza,South,Cardiology,2104,1206
HCP1568923027,Dr. Jenny Reategui,South,Neurology,196,57
HCP1013014836,Dr. Jonathan Bradlow,East,Cardiology,3965,2182
HCP1831154798,Dr. Amir Kaki,North,Cardiology,6139,2378
